Common name,Scientific name,Trend,Goal,Report Group
American Kestrel,Falco sparverius,Moderate Decrease,Below Goal Range,Grassland Bird
Baird's Sparrow,Centronyx bairdii,Large Decrease,Below Goal Range,Grassland Bird
Bobolink,Dolichonyx oryzivorus,Large Decrease,Below Goal Range,Grassland Bird
Brewer's Sparrow,Spizella breweri,Little Change,Within Goal Range,Grassland Bird
Burrowing Owl,Athene cunicularia,Large Decrease,Below Goal Range,Grassland Bird
Chestnut-collared Longspur,Calcarius ornatus,Large Decrease,Below Goal Range,Grassland Bird
Eastern Meadowlark,Sturnella magna,Large Decrease,Below Goal Range,Grassland Bird
Ferruginous Hawk,Buteo regalis,Large Increase,Within Goal Range,Grassland Bird
Grasshopper Sparrow,Ammodramus savannarum,Large Decrease,Below Goal Range,Grassland Bird
Greater Sage-Grouse,Centrocercus urophasianus,Large Decrease,Below Goal Range,Grassland Bird
Henslow's Sparrow,Centronyx henslowii,Large Decrease,Below Goal Range,Grassland Bird
Horned Lark,Eremophila alpestris,Large Decrease,Below Goal Range,Grassland Bird
Lark Bunting,Calamospiza melanocorys,Large Decrease,Below Goal Range,Grassland Bird
Lark Sparrow,Chondestes grammacus,Large Increase,Within Goal Range,Grassland Bird
LeConte's Sparrow,Ammospiza leconteii,Large Decrease,Below Goal Range,Grassland Bird
Long-billed Curlew,Numenius americanus,Moderate Decrease,Below Goal Range,Grassland Bird
Marbled Godwit,Limosa fedoa,Large Decrease,Below Goal Range,Grassland Bird
Mountain Plover,Anarhynchus montanus,Data Deficient,Data Deficient,Grassland Bird
Northern Bobwhite,Colinus virginianus,Large Decrease,Below Goal Range,Grassland Bird
Northern Harrier,Circus hudsonius,Large Decrease,Below Goal Range,Grassland Bird
Prairie Falcon,Falco mexicanus,Little Change,Within Goal Range,Grassland Bird
Savannah Sparrow,Passerculus sandwichensis,Large Decrease,Below Goal Range,Grassland Bird
Sharp-tailed Grouse,Tympanuchus phasianellus,Little Change,Within Goal Range,Grassland Bird
Short-eared Owl,Asio flammeus,Large Decrease,Below Goal Range,Grassland Bird
Sprague's Pipit,Anthus spragueii,Large Decrease,Below Goal Range,Grassland Bird
Swainson's Hawk,Buteo swainsoni,Moderate Increase,Within Goal Range,Grassland Bird
Thick-billed Longspur,Rhynchophanes mccownii,Large Decrease,Below Goal Range,Grassland Bird
Upland Sandpiper,Bartramia longicauda,Moderate Increase,Within Goal Range,Grassland Bird
Vesper Sparrow,Pooecetes gramineus,Large Decrease,Below Goal Range,Grassland Bird
Western Kingbird,Tyrannus verticalis,Little Change,Within Goal Range,Grassland Bird
Western Meadowlark,Sturnella neglecta,Large Decrease,Below Goal Range,Grassland Bird
Willet,Tringa semipalmata,Little Change,Within Goal Range,Grassland Bird
American Black Duck,Anas rubripes,Moderate Decrease,Below Goal Range,Waterfowl
American Wigeon,Mareca americana,Moderate Decrease,Below Goal Range,Waterfowl
Barrow's Goldeneye,Bucephala islandica,Moderate Increase,Within Goal Range,Waterfowl
Black Scoter,Melanitta americana,Large Decrease,Below Goal Range,Waterfowl
Blue-winged Teal,Spatula discors,Little Change,Within Goal Range,Waterfowl
Brant,Branta bernicla,Little Change,Within Goal Range,Waterfowl
Bufflehead,Bucephala albeola,Large Increase,Within Goal Range,Waterfowl
Cackling Goose,Branta hutchinsii,Large Increase,Within Goal Range,Waterfowl
Canada Goose,Branta canadensis,Large Increase,Within Goal Range,Waterfowl
Canvasback,Aythya valisineria,Little Change,Within Goal Range,Waterfowl
Cinnamon Teal,Spatula cyanoptera,Moderate Increase,Within Goal Range,Waterfowl
Common Eider,Somateria mollissima,Little Change,Within Goal Range,Waterfowl
Common Goldeneye,Bucephala clangula,Little Change,Within Goal Range,Waterfowl
Common Merganser,Mergus merganser,Moderate Increase,Within Goal Range,Waterfowl
Gadwall,Mareca strepera,Moderate Increase,Within Goal Range,Waterfowl
Greater Scaup,Aythya marila,Little Change,Within Goal Range,Waterfowl
Greater White-fronted Goose,Anser albifrons,Large Increase,Within Goal Range,Waterfowl
Green-winged Teal,Anas crecca,Little Change,Within Goal Range,Waterfowl
Harlequin Duck,Histrionicus histrionicus,Little Change,Within Goal Range,Waterfowl
Hooded Merganser,Lophodytes cucullatus,Large Increase,Within Goal Range,Waterfowl
King Eider,Somateria spectabilis,Large Decrease,Below Goal Range,Waterfowl
Lesser Scaup,Aythya affinis,Moderate Decrease,Below Goal Range,Waterfowl
Long-tailed Duck,Clangula hyemalis,Large Decrease,Below Goal Range,Waterfowl
Mallard,Anas platyrhynchos,Little Change,Within Goal Range,Waterfowl
Northern Pintail,Anas acuta,Large Decrease,Below Goal Range,Waterfowl
Northern Shoveler,Spatula clypeata,Little Change,Within Goal Range,Waterfowl
Red-breasted Merganser,Mergus serrator,Little Change,Within Goal Range,Waterfowl
Redhead,Aythya americana,Moderate Increase,Within Goal Range,Waterfowl
Ring-necked Duck,Aythya collaris,Large Increase,Within Goal Range,Waterfowl
Ross's Goose,Anser rossii,Large Increase,Above Goal Range,Waterfowl
Ruddy Duck,Oxyura jamaicensis,Large Increase,Within Goal Range,Waterfowl
Snow Goose,Anser caerulescens,Large Increase,Above Goal Range,Waterfowl
Surf Scoter,Melanitta perspicillata,Little Change,Within Goal Range,Waterfowl
Trumpeter Swan,Cygnus buccinator,Large Increase,Within Goal Range,Waterfowl
Tundra Swan,Cygnus columbianus,Moderate Increase,Within Goal Range,Waterfowl
White-winged Scoter,Melanitta deglandi,Moderate Decrease,Below Goal Range,Waterfowl
Wood Duck,Aix sponsa,Large Increase,Within Goal Range,Waterfowl
American Goshawk,Accipiter atricapillus,Little Change,Within Goal Range,Bird of Prey
